,1988
0,"{'mcc': 0.698980032036173, 'tp': 756, 'tn': 773, 'fp': 128, 'fn': 143, 'acc': 0.8494444444444444}"
1,"{'mcc': 0.6911190809904084, 'tp': 762, 'tn': 760, 'fp': 141, 'fn': 137, 'acc': 0.8455555555555555}"
2,"{'mcc': 0.6815273001206388, 'tp': 771, 'tn': 742, 'fp': 159, 'fn': 128, 'acc': 0.8405555555555555}"
3,"{'mcc': 0.6889187940923565, 'tp': 763, 'tn': 757, 'fp': 144, 'fn': 136, 'acc': 0.8444444444444444}"
4,"{'mcc': 0.6771095300974268, 'tp': 691, 'tn': 813, 'fp': 88, 'fn': 208, 'acc': 0.8355555555555556}"
5,"{'mcc': 0.6382639278546456, 'tp': 826, 'tn': 635, 'fp': 266, 'fn': 73, 'acc': 0.8116666666666666}"
6,"{'mcc': 0.6884764333881449, 'tp': 738, 'tn': 781, 'fp': 120, 'fn': 161, 'acc': 0.8438888888888889}"
7,"{'mcc': 0.607552339670291, 'tp': 837, 'tn': 588, 'fp': 313, 'fn': 62, 'acc': 0.7916666666666666}"
8,"{'mcc': 0.41958720468735206, 'tp': 876, 'tn': 320, 'fp': 581, 'fn': 23, 'acc': 0.6644444444444444}"
9,"{'mcc': 0.0, 'tp': 899, 'tn': 0, 'fp': 901, 'fn': 0, 'acc': 0.49944444444444447}"
10,"{'mcc': 0.0, 'tp': 899, 'tn': 0, 'fp': 901, 'fn': 0, 'acc': 0.49944444444444447}"
11,"{'mcc': 0.0, 'tp': 899, 'tn': 0, 'fp': 901, 'fn': 0, 'acc': 0.49944444444444447}"
12,"{'mcc': 0.0, 'tp': 899, 'tn': 0, 'fp': 901, 'fn': 0, 'acc': 0.49944444444444447}"
13,"{'mcc': 0.023550594173432256, 'tp': 899, 'tn': 1, 'fp': 900, 'fn': 0, 'acc': 0.5}"
14,"{'mcc': 0.07792284373936295, 'tp': 673, 'tn': 290, 'fp': 611, 'fn': 226, 'acc': 0.535}"
