1989
"{'TP': 907, 'TN': 0, 'FP': 893, 'FN': 0}"
"{'TP': 153, 'TN': 822, 'FP': 71, 'FN': 754}"
"{'TP': 3, 'TN': 893, 'FP': 0, 'FN': 904}"
"{'TP': 2, 'TN': 893, 'FP': 0, 'FN': 905}"
"{'TP': 10, 'TN': 893, 'FP': 0, 'FN': 897}"
"{'TP': 244, 'TN': 828, 'FP': 65, 'FN': 663}"
"{'TP': 773, 'TN': 325, 'FP': 568, 'FN': 134}"
"{'TP': 756, 'TN': 388, 'FP': 505, 'FN': 151}"
"{'TP': 393, 'TN': 780, 'FP': 113, 'FN': 514}"
"{'TP': 83, 'TN': 889, 'FP': 4, 'FN': 824}"
"{'TP': 57, 'TN': 889, 'FP': 4, 'FN': 850}"
"{'TP': 123, 'TN': 883, 'FP': 10, 'FN': 784}"
"{'TP': 378, 'TN': 825, 'FP': 68, 'FN': 529}"
"{'TP': 619, 'TN': 662, 'FP': 231, 'FN': 288}"
"{'TP': 620, 'TN': 668, 'FP': 225, 'FN': 287}"
"{'TP': 471, 'TN': 790, 'FP': 103, 'FN': 436}"
"{'TP': 312, 'TN': 857, 'FP': 36, 'FN': 595}"
"{'TP': 323, 'TN': 858, 'FP': 35, 'FN': 584}"
"{'TP': 470, 'TN': 820, 'FP': 73, 'FN': 437}"
"{'TP': 627, 'TN': 713, 'FP': 180, 'FN': 280}"
"{'TP': 656, 'TN': 703, 'FP': 190, 'FN': 251}"
"{'TP': 565, 'TN': 767, 'FP': 126, 'FN': 342}"
"{'TP': 500, 'TN': 819, 'FP': 74, 'FN': 407}"
"{'TP': 547, 'TN': 799, 'FP': 94, 'FN': 360}"
"{'TP': 673, 'TN': 721, 'FP': 172, 'FN': 234}"
"{'TP': 703, 'TN': 705, 'FP': 188, 'FN': 204}"
"{'TP': 653, 'TN': 752, 'FP': 141, 'FN': 254}"
"{'TP': 635, 'TN': 774, 'FP': 119, 'FN': 272}"
"{'TP': 691, 'TN': 744, 'FP': 149, 'FN': 216}"
"{'TP': 733, 'TN': 704, 'FP': 189, 'FN': 174}"
"{'TP': 716, 'TN': 738, 'FP': 155, 'FN': 191}"
"{'TP': 693, 'TN': 755, 'FP': 138, 'FN': 214}"
"{'TP': 737, 'TN': 730, 'FP': 163, 'FN': 170}"
"{'TP': 767, 'TN': 714, 'FP': 179, 'FN': 140}"
"{'TP': 735, 'TN': 751, 'FP': 142, 'FN': 172}"
"{'TP': 749, 'TN': 742, 'FP': 151, 'FN': 158}"
"{'TP': 764, 'TN': 734, 'FP': 159, 'FN': 143}"
"{'TP': 747, 'TN': 753, 'FP': 140, 'FN': 160}"
"{'TP': 748, 'TN': 757, 'FP': 136, 'FN': 159}"
"{'TP': 775, 'TN': 741, 'FP': 152, 'FN': 132}"
"{'TP': 783, 'TN': 732, 'FP': 161, 'FN': 124}"
"{'TP': 778, 'TN': 745, 'FP': 148, 'FN': 129}"
"{'TP': 770, 'TN': 753, 'FP': 140, 'FN': 137}"
"{'TP': 771, 'TN': 756, 'FP': 137, 'FN': 136}"
"{'TP': 772, 'TN': 761, 'FP': 132, 'FN': 135}"
"{'TP': 774, 'TN': 757, 'FP': 136, 'FN': 133}"
"{'TP': 779, 'TN': 754, 'FP': 139, 'FN': 128}"
"{'TP': 779, 'TN': 753, 'FP': 140, 'FN': 128}"
"{'TP': 781, 'TN': 753, 'FP': 140, 'FN': 126}"
"{'TP': 782, 'TN': 752, 'FP': 141, 'FN': 125}"
