1988
"{'TP': 29, 'TN': 0, 'FP': 21, 'FN': 0}"
"{'TP': 29, 'TN': 0, 'FP': 21, 'FN': 0}"
"{'TP': 5, 'TN': 21, 'FP': 0, 'FN': 24}"
"{'TP': 0, 'TN': 21, 'FP': 0, 'FN': 29}"
"{'TP': 28, 'TN': 6, 'FP': 15, 'FN': 1}"
"{'TP': 29, 'TN': 1, 'FP': 20, 'FN': 0}"
"{'TP': 29, 'TN': 1, 'FP': 20, 'FN': 0}"
"{'TP': 29, 'TN': 1, 'FP': 20, 'FN': 0}"
"{'TP': 29, 'TN': 1, 'FP': 20, 'FN': 0}"
"{'TP': 29, 'TN': 4, 'FP': 17, 'FN': 0}"
"{'TP': 27, 'TN': 10, 'FP': 11, 'FN': 2}"
"{'TP': 27, 'TN': 10, 'FP': 11, 'FN': 2}"
"{'TP': 29, 'TN': 6, 'FP': 15, 'FN': 0}"
"{'TP': 29, 'TN': 4, 'FP': 17, 'FN': 0}"
"{'TP': 29, 'TN': 3, 'FP': 18, 'FN': 0}"
"{'TP': 29, 'TN': 4, 'FP': 17, 'FN': 0}"
"{'TP': 29, 'TN': 6, 'FP': 15, 'FN': 0}"
"{'TP': 28, 'TN': 14, 'FP': 7, 'FN': 1}"
"{'TP': 28, 'TN': 15, 'FP': 6, 'FN': 1}"
"{'TP': 29, 'TN': 12, 'FP': 9, 'FN': 0}"
"{'TP': 29, 'TN': 8, 'FP': 13, 'FN': 0}"
"{'TP': 29, 'TN': 8, 'FP': 13, 'FN': 0}"
"{'TP': 29, 'TN': 13, 'FP': 8, 'FN': 0}"
"{'TP': 28, 'TN': 17, 'FP': 4, 'FN': 1}"
"{'TP': 28, 'TN': 18, 'FP': 3, 'FN': 1}"
"{'TP': 28, 'TN': 17, 'FP': 4, 'FN': 1}"
"{'TP': 29, 'TN': 16, 'FP': 5, 'FN': 0}"
"{'TP': 29, 'TN': 17, 'FP': 4, 'FN': 0}"
"{'TP': 28, 'TN': 19, 'FP': 2, 'FN': 1}"
"{'TP': 28, 'TN': 20, 'FP': 1, 'FN': 1}"
"{'TP': 29, 'TN': 18, 'FP': 3, 'FN': 0}"
"{'TP': 29, 'TN': 18, 'FP': 3, 'FN': 0}"
"{'TP': 29, 'TN': 20, 'FP': 1, 'FN': 0}"
"{'TP': 29, 'TN': 20, 'FP': 1, 'FN': 0}"
"{'TP': 29, 'TN': 20, 'FP': 1, 'FN': 0}"
"{'TP': 29, 'TN': 20, 'FP': 1, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
"{'TP': 29, 'TN': 21, 'FP': 0, 'FN': 0}"
